네,yes
때,time; when;occasion;dirt
언니,older sister (of a female)
준비,preparation, arrangement
울다,to cry
일월,January
가수,singer
그래도,nevertheless, still, however
찍다,to take a picture;<br />to mark
초콜릿,chocolate
일찍,early (adv.)
잠,sleep, nap
힘들다,to be difficult, tiring, painful
아빠,dad
김치,kimchi (traditional Korean dish made of seasoned vegetables and other ingredients)
작년,last year
내다,to pay;to hand in;<br />to produce
영국,United Kingdom
주말,weekend
그렇지만,but, however
따뜻하다,to be warm, kind
이월,February
핸드폰,cellphone
씻다,to wash
편지,letter, note
봄,spring
슬프다,to be sad
오전,before noon
인터넷,internet
맵다,to be spicy, hot;to be intense
백화점,department store
명,counter for people
검다,to be black
얘기,story;talk, conversation
제일,the most
빌리다,to borrow
포도,grape
삼월,March
걷다,to walk
공항,airport
달,month, moon
농구,basketball
세수하다,to wash one's face
가끔,sometimes
씨,Mr., Ms.;seed, kernel
보내다,to send;<br />to pass (spend) time
오후,after noon
서점,bookstore
배고프다,to be hungry
무엇,what, which, something (the unshortened form of 뭐)
맛,taste
비빔밥,boiled rice with assorted mixtures
걸리다,to take time;to be caught
창문,window
일본어,Japanese (language)
싫어하다,to dislike
또,again, repeatedly;also, too
기억,memory
검은색,black
치다,to play a game;<br>to hit, attack
나무,tree; wood
대답,answer
설악산,Seoraksan (mountain)
깨끗하다,to be clean
모두,all together, everyone
너,you (<i>informal</i>)
그래,yes, okay
수고하다,to work hard, keep up the effort
먼저,first, ahead
층,floor (count.)
사월,April
조용하다,to be quiet
사무실,office
벌써,already
들어가다,to enter, go in
잠시,a short while
위,above;stomach
한번,one time
귀엽다,to be cute
부엌,kitchen
이런,such
소개하다,to introduce, recommend
목,neck;throat
여러,many, several
흰색,white
가지다,to posess (have)
할머니,grandmother
만약,if
화,anger;disaster, misfortune
잘하다,to do well, be skillful
오이,cucumber
처음,for the first time;the origin
비슷하다,to be similar
칠월,July
길,street, road
어느,which
축하하다,to congratulate
택시,taxi
마지막,the last, final one
한국말,Korean language
서다,to stand;to stop
속,inside
빨간색,red
빨래하다,to do laundry
팔월,August
수박,watermelon
차갑다,to be cold (regarding objects)
대,counter for vehicles and other machinery
종이,paper
며칠,several days;day of the month
걱정하다,to worry
테이블,table
오래,a long time
배우,actor
놀라다,to be surprised, astonished, startled
힘,power, strength, force, capability
잡지,magazine, journal
계시다,to exist (hon.)
남편,husband
별로,not particularly
파티,party (social gathering)
화나다,to be angry, mad
구월,September
산,mountain
빨갛다,to be red
아래,under
교실,classroom
잘못하다,to make a mistake
왼쪽,left side
코트,coat
따르다,to follow, go after;to pour, fill
겨울,winter
모자,hat, cap;mother and son
시월,October
필요하다,to need
키,height
청바지,blue jeans
고맙다,to be thankful, grateful
물건,thing, object, article
이렇게,like this, in this way
소금,salt
끝내다,to finish (something)
수학,mathematics;study
뒤,behind
편의점,convenience store
유명하다,to be famous
우산,umbrella
저희,we, our
들어오다,to come in, enter
아저씨,mister
안경,glasses, eyeglasses
행복하다,to be happy
값,price, cost
동안,during, interval
뜨겁다,to be hot (regarding objects)
식사,meal
오른쪽,right side
거실,living room
설명하다,to explain
불,fire;light
그러니까,therefore, consequently
아줌마,middle aged woman
아름답다,to be beautiful
십일월,November
외국,foreign country
아내,wife
나다,to appear, come out;to break
역,train station;part in a play
도시,city
드리다,to give, offer (hon.)
얼굴,face
인사,greetings
거짓말,lie
무겁다,to be heavy
모든,all; every
공,ball
날짜,date (in a calendar)
구경하다,to go sightseeing, look around;to see, watch (a show, movie, play, sports game etc.)
소리,sound, noise
앞으로,from now on
들다,to be included, be among;to pick up, hold, carry;to mention, state
팔,arm
십이월,December
기숙사,dormitory
어둡다,to be dark, gloomy
중국어,Chinese (language)
바로,right there;<br>directly
생선,fish (for eating)
연습하다,to practice, train
데,spot, place
하루,(one) day, 24 hours
외국어,foreign language
빠르다,to be quick, fast
반지,ring
쇼핑,shopping
노랗다,to be yellow
밖,the outside
만화,comic book
사실,fact, truth
출근하다,to go (get) to work
언제나,always;usually
건강,health
높다,to be high;to be noble
그냥,just;without any special reason
지난주,last week
컵,cup
계속하다,to continue
휴가,vacation (in general)
방금,a moment ago
학년,school year
벌다,to earn (money)
전,before, prior to
색깔,color
신발,shoes, footwear
잊다,to forget
설탕,sugar
함께,together, in company with
글,writing, a piece of writing, text
사용하다,to use, make use of
데이트,date, going out
사고,accident;thinking
그만하다,to stop (doing something)
라면,ramen
서로,each other, mutually
생기다,to occur, happen;to look;to form
약,drug, medicine;<br>approximately
아마,probably, maybe
미안하다,to be sorry (less formal)
과일,fruit
항상,always
싸우다,to argue, fight
지갑,wallet;purse
가장,the most (more formal than&nbsp;제일)
이해하다,to understand, grasp
반,half;<br>group, class
농담,joke
아기,baby
바꾸다,to change, switch, alter
가을,autumn
쇠고기,beef (2)
낮다,to be low
담배,cigarette
방학,vacation (from school)
가져오다,to bring
권,counter for books
열쇠,key
그리다,to draw a picture
여자친구,girlfriend
아주,very much
양말,socks
틀리다,to be wrong, mistaken;to make a mistake
아니,no, not
주소,address, residence
벽,wall;<br>characteristic
퇴근하다,to go home from work
자기,self, oneself
방법,way, method
감기,cold (the illness)
똑똑하다,to be smart, bright, intelligent
계속,continuously
지도,map, chart
가볍다,to be light (as opposed to heavy)
마리,counter for animals
문학,literature
밝다,to be bright, light;to be promising;to be sharp, keen
강,river
반말,plain speech
외우다,to memorize
할아버지,grandfather
비밀,secret
노란색,yellow
즐겁다,to be pleasant, joyful, cheerful, happy
인기,popularity
전혀,completely;<br>(not) at all
조심하다,to be careful, watch out
바다,sea, ocean
과학,science
더럽다,to be dirty
몸,body, figure
잠깐,for a little while
강하다,to be strong, powerful
축구,football (soccer)
역사,history
내,my <i>(informal)</i>
잘못되다,to go wrong
다리,leg;bridge
번호,number
운동장,field, (school) stadium;playground
실례하다,to be excused
콜라,coke
사이,relationship;distance apart
스포츠,sports
부탁하다,to request, ask a favor
스페인,Spain
기분,mood, feeling
갑자기,suddenly
다치다,to get hurt
궁금하다,to be curious, to wonder
자리,room, space, place (for something);mat
내년,next year
파랗다,to be blue
섬,island
그렇게,so, like that
건강하다,to be healthy
냄새,smell, scent
직장,workplace, job
지나다,to pass, go by
반바지,shorts
소파,sofa
독학,self-study
연락하다,to contact, keep in touch
오랜만에,after a long time
느낌,feeling, sensation
졸업하다,to graduate
교수,professor;<br>teaching, instruction
손님,guest;customer
오르다,to rise, go up
입,mouth
비행기,airplane
닦다,to wipe;to polish
위험,danger, risk
유행,fashion
믿다,to believe, trust
교과서,textbook
꼭,certainly, for sure
날씬하다,to be slim, slender
대화,conversation
날마다,every day
시원하다,to be cool, refreshing
신경,nerves
유학,studying abroad
인도,India;sidewalk
시끄럽다,to be noisy
당근,carrot
계획,plan, project
피우다,to smoke;to bloom, blossom;to make a fire
코,nose
부산,Busan
우체국,post office
어리다,to be young, little
바람,wind, breeze;wish, desire
야구,baseball
복잡하다,to be crowded;to be complicated
목욕,bath
때문에,because of
꿈,dream (while sleeping)
넓다,to be wide, spacious
이제,now (after something)
경기,game (football etc.)
지키다,to defend, protect
사실은,in fact
약국,pharmacy
즐기다,to enjoy oneself
초록색,green
낮,daytime
그때,then, at that time
안다,to hug, hold
아가씨,miss, young lady
불고기,marinated beef
주무시다,to sleep (hon.)
해,year;sun;harm
아무튼,anyway, in any case
드라마,drama
내려오다,to come down, get off
비누,soap
근처,nearby
낫다,to be better;<br>to get better, to heal
가구,furniture;<br>household
닭,chicken
변하다,to change
세탁,washing
젓가락,chopsticks
친절하다,to be kind, considerate
계단,stairs
글쎄,well, let me see
켜다,to turn on, switch on
어른,adult;one's senior
기자,reporter
그쪽,that, that way;you
달리다,to run;to hang;to depend on
재미있게,interestingly, in a fun way
못,nail;cannot
하얗다,to be white
주인,owner, employer
아무나,anybody
기억나다,to remember, recollect
지난달,last month
군데,place, spot
사탕,candy
어떻다,to be the manner in which something is done
귀,ear
이따가,a little later
잃다,to lose (something)
교회,church
그릇,bowl, container
펴다,to open, unfold, spread
중에서,among, between
목소리,voice
소식,news (from people you know)
밝히다,to brighten (up), lighten;to clarify, disclose
침실,bedroom
북쪽,north
구름,cloud
벗다,to take off (clothes)
닭고기,chicken (meat)
밑,the bottom, below
만지다,to touch
모레,the day after tomorrow
시내,the city, downtown
달다,to be sweet;<br>to put up, attach
